,School Name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Grad.Rate,Expend
54,William Woods University,Yes,469,435,227,17,39,851,120,10535,4365,550,3700,39,66,12.9,16,52,7438
55,University of North Carolina at Charlotte,No,5803,4441,1730,19,62,10099,3255,7248,3109,600,1900,79,91,16.8,7,62,6227
56,Washington University,Yes,7654,5259,1254,62,93,4879,1274,18350,5775,768,1512,91,98,3.9,31,90,45702
57,Wellesley College,Yes,2895,1249,579,80,96,2195,156,18345,5995,500,700,94,98,10.6,51,91,21409
58,Central Missouri State University,No,4681,4101,1436,10,35,8094,1596,4620,3288,300,2250,69,80,19.7,4,50,5501
59,Michigan State University,No,18114,15096,6180,23,57,26640,4120,10658,3734,504,600,93,95,14,9,71,10520
60,Fordham University,Yes,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,80,10864
61,Fairfield University,Yes,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,94,11220
62,Stonehill College,Yes,3646,2300,585,25,69,2022,926,12170,6172,480,800,79,79,13,30,97,7495
63,Southern California College,Yes,385,340,193,18,38,784,127,9520,4124,630,1818,63,65,18.6,11,43,8219
64,University of Michigan at Ann Arbor,No,19152,12940,4893,66,92,22045,1339,15732,4659,476,1600,90,98,11.5,26,87,14847
65,University of South Florida,No,7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17,7,47,11020
66,Rivier College,Yes,484,386,141,6,28,590,1196,9870,4860,600,1100,59,59,12.2,19,81,6744
67,Hartwick College,Yes,2083,1725,430,22,49,1464,67,17480,4780,500,700,75,87,12.3,32,73,11625
68,Ohio University,No,11023,8298,3183,21,54,14861,1310,7629,4095,550,2300,79,87,20.4,13,64,8811
69,Bennington College,Yes,519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,55,16364
70,University of Connecticut at Storrs,No,9735,7187,2064,23,63,12478,1660,11656,5072,700,2300,89,95,16,16,71,10178
71,Texas A&M Univ. at College Station,No,14474,10519,6392,49,85,31643,2798,5130,3412,600,2144,89,91,23.1,29,69,8471
72,University of Charleston,Yes,682,535,204,22,43,771,611,9500,3540,400,750,26,58,2.5,10,57,7683
73,University of Wisconsin at Milwaukee,No,5244,3782,1930,12,37,11561,7443,8786,2964,570,1980,79,87,15.9,8,38,8094
74,Mount Saint Mary College,Yes,1170,695,238,14,48,1170,429,7470,4600,250,1400,74,75,15.3,23,88,6898
75,Whitworth College,Yes,1121,926,372,43,70,1270,160,12660,4500,678,2424,80,80,16.9,20,80,8328
76,Chapman University,Yes,959,771,351,23,48,1662,209,16624,5895,600,1100,72,80,12.8,6,47,12692
77,Green Mountain College,Yes,780,628,198,7,20,545,42,11750,2700,400,850,77,83,14,24,76,6475
78,Clark University,Yes,2887,2059,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,79,11951
79,Michigan State University,No,18114,15096,6180,23,57,26640,4120,10658,3734,504,600,93,95,14,9,71,10520
80,Scripps College,Yes,855,632,139,60,83,569,7,17238,7350,600,800,95,100,8.2,41,73,18372
81,Dominican College of Blauvelt,Yes,360,329,108,4,19,756,863,8310,5500,600,1800,43,43,12.7,5,54,5480
82,College of Saint Elizabeth,Yes,444,359,122,34,53,493,968,10900,5250,380,1000,68,70,11.4,23,78,9447
83,Mesa State College,No,1584,1456,891,6,18,3471,911,5016,3798,540,2256,48,48,28.8,12,59,3871
84,Waynesburg College,Yes,1190,978,324,12,30,1280,61,8840,3620,500,1200,57,58,16.2,26,63,6563
85,Erskine College,Yes,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,67,7527
86,Lynchburg College,Yes,1756,1500,366,3,21,1524,280,12450,5400,450,870,62,66,12.4,24,70,8832
87,University of Northern Colorado,No,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,40,6309
88,Pacific University,Yes,943,849,288,41,71,1041,35,14210,3994,450,1100,76,76,10.9,22,42,11216
89,Converse College,Yes,440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,75,10965
90,Lake Forest College,Yes,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,77,15687
91,Daniel Webster College,Yes,585,508,153,12,30,460,536,12292,4934,500,500,61,61,22.2,10,72,8643
92,Marywood College,Yes,1107,859,323,13,51,1452,402,11040,4500,600,700,65,76,11.8,30,66,9034
93,University of Nebraska at Lincoln,No,6277,6003,3526,33,63,16454,3171,5595,3145,500,2070,86,92,15.1,48,53,6813
94,Jersey City State College,No,2957,1423,691,10,30,3817,1394,3946,4800,400,1500,63,67,14.9,10,26,8367
95,Eastern Nazarene College,Yes,516,409,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,70,6430
96,University of the Arts,Yes,974,704,290,5,22,1145,39,12520,3860,1300,700,16,59,7.5,9,57,11641
97,Cedar Crest College,Yes,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,74,10961
98,Bentley College,Yes,3466,2330,640,20,60,3095,1533,13800,5510,630,850,87,87,17.5,20,82,10941
99,Whittier College,Yes,1681,1069,344,35,63,1235,30,16249,5699,500,1998,84,92,13.6,29,52,11778
100,Philadelphia Coll. of Textiles and Sci.,Yes,1538,1259,468,19,42,1664,1042,11690,5062,600,1664,48,80,12.9,15,68,8028
101,Montclair State University,No,5220,2128,865,19,53,6411,3186,3648,4834,700,950,82,87,21.5,9,58,6717
102,Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40,41,11.5,15,52,8991
103,Gardner Webb University,Yes,1110,930,332,18,36,1603,374,8180,4270,500,500,65,58,15.2,12,29,5664
104,Georgetown College,Yes,727,693,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,55,7508
105,George Washington University,Yes,7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92,93,7.6,15,72,14745
106,Loras College,Yes,1641,1283,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,70,7578
107,University of Southern Colorado,No,1401,1239,605,10,34,3716,675,7100,4380,540,2948,63,88,19.4,0,36,5389
108,Southeastern Oklahoma State Univ.,No,818,700,447,20,50,2962,651,3738,2619,450,1022,55,59,19.6,9,53,4444
109,Beaver College,Yes,1163,850,348,23,56,878,519,12850,5400,400,800,78,89,12.2,30,73,8954
110,George Fox College,Yes,809,726,294,27,52,1271,43,12500,4130,400,1050,53,53,13.5,22,52,7136
111,University of Utah,No,5095,4491,2400,27,53,13894,8374,6857,3975,858,3093,89,93,12.8,9,37,9275
112,Lawrence University,Yes,1243,947,324,50,77,1129,74,17163,3891,525,975,76,92,10.1,57,77,13965
113,University of Tulsa,Yes,1712,1557,696,41,68,2936,433,11750,4160,1200,2350,94,96,11.5,10,47,11743
114,Central Missouri State University,No,4681,4101,1436,10,35,8094,1596,4620,3288,300,2250,69,80,19.7,4,50,5501
115,Coker College,Yes,604,452,295,15,47,690,222,9888,4502,400,1000,64,77,12.1,39,75,8741
116,Florida Southern College,Yes,1381,1040,374,20,44,1506,970,8025,4865,400,650,65,74,17.4,10,68,6339
117,George Washington University,Yes,7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92,93,7.6,15,72,14745
118,University of Maryland at Baltimore County,No,4269,2594,985,27,57,6476,2592,8594,4408,494,2768,82,88,18.4,6,55,7618
119,Caldwell College,Yes,1011,604,213,17,42,693,868,8900,4600,425,1000,87,96,13.9,25,55,7922
120,University of Wisconsin-Stout,No,2593,1966,1030,9,32,6038,579,6704,2592,376,1750,78,78,21,17,65,6254
121,University of Michigan at Ann Arbor,No,19152,12940,4893,66,92,22045,1339,15732,4659,476,1600,90,98,11.5,26,87,14847
122,Wesley College,Yes,980,807,350,10,25,872,448,9890,4674,500,1350,52,57,14.4,15,84,6243
123,Eastern Nazarene College,Yes,516,409,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,70,6430
124,University of North Carolina at Charlotte,No,5803,4441,1730,19,62,10099,3255,7248,3109,600,1900,79,91,16.8,7,62,6227
125,Carleton College,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,91,17960
126,Bethel College,Yes,502,384,104,11,28,347,74,6200,2900,600,800,63,63,11.7,13,35,7623
127,LaGrange College,Yes,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,75,9067
128,Greenville College,Yes,510,387,194,20,46,771,53,10310,4530,400,800,57,61,14.3,16,60,8222
129,University of Hawaii at Manoa,No,3580,2603,1627,36,69,11028,2411,4460,3038,687,1281,85,87,11.8,6,54,12833
130,Lebanon Valley College,Yes,1386,1060,320,28,56,965,502,13850,4755,400,1125,84,84,12.3,30,85,8196
131,Tiffin University,Yes,845,734,254,5,21,662,351,7600,3800,600,1200,59,74,19,40,39,5096
132,Lynchburg College,Yes,1756,1500,366,3,21,1524,280,12450,5400,450,870,62,66,12.4,24,70,8832
133,Huntingdon College,Yes,608,520,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,44,7703
134,Phillips University,Yes,692,576,174,19,50,597,83,10500,3860,600,940,58,64,11.6,19,39,8990
135,Harvey Mudd College,Yes,1377,572,178,95,100,654,5,17230,6690,700,900,100,100,8.2,46,100,21569
136,University of Southern Indiana,No,2379,2133,1292,8,25,4283,2973,4973,3192,500,1425,56,65,22,21,38,4078
137,University of Missouri at Saint Louis,No,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,48,6433
138,Bethel College,Yes,502,384,104,11,28,347,74,6200,2900,600,800,63,63,11.7,13,35,7623
139,Mesa State College,No,1584,1456,891,6,18,3471,911,5016,3798,540,2256,48,48,28.8,12,59,3871
140,Marquette University,Yes,5152,4600,1685,36,71,7016,804,11610,4760,600,1950,86,94,13.5,25,77,9982
141,Pace University,Yes,8256,3750,1522,37,70,5809,4379,11000,5160,660,1115,90,95,13.8,10,62,10059
142,Knox College,Yes,1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,79,13224
143,Hampton University,Yes,7178,3755,1433,25,63,4623,740,7161,3518,600,2000,60,64,14,9,70,6791
144,Westminster College of Salt Lake City,Yes,917,720,213,21,60,979,743,8820,4050,600,2025,68,83,10.5,34,50,7170
145,Montana College of Mineral Sci. & Tech.,No,572,544,320,45,72,1470,416,6073,3400,550,1400,71,71,16.4,31,74,6112
146,Xavier University,Yes,1959,1805,695,24,47,2849,1107,11520,4960,600,1250,73,75,13.3,31,83,9189
147,Colgate University,Yes,4856,2492,727,46,75,2649,25,19510,5565,500,750,95,98,10.5,45,93,15494
148,Milwaukee School of Engineering,Yes,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,67,7140
149,University of North Texas,No,4418,2737,2049,23,51,14047,5134,4104,3579,450,1700,86,94,22.6,6,35,5657
150,Western State College of Colorado,No,2702,1623,604,7,24,2315,146,5918,3755,500,2050,76,79,19.4,4,52,4599
151,Juniata College,Yes,1005,859,298,36,55,1075,43,14850,4460,450,420,97,97,12.7,37,80,12067
152,Loyola University,Yes,1891,1698,719,24,80,2740,761,11100,5870,600,750,77,88,11.7,14,53,9456
153,University of Oklahoma,No,4743,3970,2233,32,63,13436,2582,5173,3526,765,3176,86,90,11.5,11,44,10244
154,La Roche College,Yes,361,321,185,10,41,650,819,8842,4782,600,1100,57,73,14.2,14,52,7022
155,Yale University,Yes,10705,2453,1317,95,99,5217,83,19840,6510,630,2115,96,96,5.8,49,99,40386
156,Tuskegee University,Yes,2267,1827,611,20,59,2825,144,6735,3395,600,1425,70,74,12.2,7,65,10872
157,Yale University,Yes,10705,2453,1317,95,99,5217,83,19840,6510,630,2115,96,96,5.8,49,99,40386
158,Smith College,Yes,2925,1598,632,51,88,2479,95,18820,6390,500,1050,85,97,10.3,44,90,21199
159,University of Wisconsin-Stout,No,2593,1966,1030,9,32,6038,579,6704,2592,376,1750,78,78,21,17,65,6254
160,Marywood College,Yes,1107,859,323,13,51,1452,402,11040,4500,600,700,65,76,11.8,30,66,9034
161,Washington and Jefferson College,Yes,1305,1100,334,42,64,1098,151,16260,4005,300,500,91,91,12.1,40,86,10162
162,Clarkson University,Yes,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,77,11659
163,Seattle Pacific University,Yes,1183,1016,411,42,82,1922,704,12669,4875,600,1250,83,85,16.8,20,66,10368
164,Mount St. Mary's College,Yes,657,537,113,37,90,1039,466,12474,5678,630,1278,53,71,11.9,19,72,10613
165,Christian Brothers University,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,63,8129
166,LaGrange College,Yes,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,75,9067
167,Loyola College,Yes,4076,3137,738,25,54,3010,184,12990,6300,600,900,86,88,14.7,27,80,9448
168,University of Maine at Presque Isle,No,461,381,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,35,6408
169,Shorter College,Yes,540,445,165,23,70,1115,111,7210,3600,500,2000,62,65,13.2,18,58,7356
170,Drew University,Yes,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,83,14907
171,Dana College,Yes,504,482,185,10,36,550,84,9130,3322,450,1450,46,51,12.6,25,54,8686
172,Central College,Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,67,8444
173,MacMurray College,Yes,740,558,177,12,29,628,63,9620,3750,550,950,49,55,10.8,33,59,10642
174,Christian Brothers University,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,63,8129
175,Pacific Union College,Yes,940,668,385,20,48,1316,139,11925,3825,630,1926,48,87,12.3,12,69,9157
176,Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62,66,11.5,18,46,10908
177,Rosary College,Yes,434,321,141,28,53,624,269,10950,4600,550,950,79,82,12.9,30,81,9264
178,Whitworth College,Yes,1121,926,372,43,70,1270,160,12660,4500,678,2424,80,80,16.9,20,80,8328
179,Furman University,Yes,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,82,12940
180,University of Utah,No,5095,4491,2400,27,53,13894,8374,6857,3975,858,3093,89,93,12.8,9,37,9275
181,McMurry University,Yes,578,411,187,25,50,880,477,6930,3452,400,1525,57,64,11,11,32,6383
182,Milligan College,Yes,610,461,189,26,52,685,49,8200,3300,550,1000,63,69,12,16,64,8128
183,SUNY College at Plattsburgh,No,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,65,6174
184,Saint Vincent College,Yes,700,595,278,19,35,1035,182,10850,3936,500,900,62,64,12.3,31,88,8534
185,Susquehanna University,Yes,2096,1512,465,27,59,1442,166,16130,4710,400,800,83,86,13.9,37,90,10554
186,Marymount Manhattan College,Yes,695,535,239,21,30,988,785,10200,7000,350,1100,63,76,11.7,20,68,10622
187,Marian College of Fond du Lac,Yes,824,670,337,15,41,1160,653,9400,3400,500,1100,37,37,8.4,21,59,5352
188,Marshall University,Yes,4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,50,6203
189,College of Saint Rose,Yes,983,664,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,64,6084
190,Manchester College,Yes,1004,802,239,23,63,909,51,10440,3850,525,1450,63,72,11.8,20,64,7940
191,University of Washington,No,12749,7025,3343,40,81,20356,4582,8199,4218,708,2172,96,94,9,10,65,16527
192,Valley City State University,No,368,344,212,5,27,863,189,4286,2570,600,2000,39,41,14.9,25,40,4958
193,Rollins College,Yes,1777,1151,382,31,55,1668,1052,16425,5220,955,750,81,85,13.3,23,90,11561
194,St. Lawrence University,Yes,2753,1820,505,31,56,1801,45,18720,5730,650,825,90,94,11.5,38,85,14980
195,Ursuline College,Yes,325,260,86,21,47,699,717,9600,4202,450,750,39,69,10.5,15,68,7164
196,Spring Arbor College,Yes,372,362,181,15,32,1501,353,8600,3550,385,665,48,48,15.4,9,49,10938
197,University of the South,Yes,1445,966,326,46,83,1129,24,15350,4080,450,810,89,93,10.3,52,82,18784
198,SUNY at Buffalo,No,15039,9649,3087,36,100,13963,3124,6550,4731,708,957,90,97,13.6,15,56,11177
199,Salisbury State University,No,4216,2290,736,20,52,4296,1027,5130,4690,600,1450,73,75,17.9,18,56,5125
200,Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,67,73,9.4,11,55,9727
201,Francis Marion University,No,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,43,5039
202,University of Maryland at Baltimore County,No,4269,2594,985,27,57,6476,2592,8594,4408,494,2768,82,88,18.4,6,55,7618
203,Hamilton College,Yes,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,91,17761
204,Erskine College,Yes,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,67,7527
205,Saint Mary's College of Minnesota,Yes,876,802,367,14,35,1263,118,10800,3600,400,820,68,74,18.8,19,78,5081
206,Butler University,Yes,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,83,9511
207,Michigan Technological University,No,2618,2288,1032,42,77,5524,414,8127,3978,900,1200,82,82,17,25,65,7473
208,Wilkes University,Yes,1631,1431,434,15,36,1803,603,11150,5130,550,1260,78,92,13.3,24,67,8543
209,Coe College,Yes,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,67,10141
210,Georgetown College,Yes,727,693,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,55,7508
211,East Tennessee State University,No,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14,9,42,9825
212,Bluefield College,Yes,377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,53,6259
213,Moorhead State University,No,2442,2164,1189,12,37,5983,1075,4426,2664,600,1000,76,81,18.1,19,60,4795
214,Salisbury State University,No,4216,2290,736,20,52,4296,1027,5130,4690,600,1450,73,75,17.9,18,56,5125
215,Brigham Young University at Provo,Yes,7365,5402,4615,48,82,27378,1253,2340,3580,860,1220,76,76,20.5,40,33,7916
216,Savannah Coll. of Art and Design,Yes,1109,688,386,20,65,1897,208,8325,5000,1200,1600,14,98,16.1,26,55,6874
217,Lambuth University,Yes,831,538,224,15,35,840,325,5170,3430,600,1590,61,61,16.1,10,60,5531
218,Lawrence University,Yes,1243,947,324,50,77,1129,74,17163,3891,525,975,76,92,10.1,57,77,13965
219,Bryn Mawr College,Yes,1465,810,313,71,95,1088,16,18165,6750,500,1200,100,100,12.3,49,89,17449
220,Missouri Southern State College,No,1576,1326,913,13,50,3689,2200,3840,2852,200,400,52,54,20.3,9,100,4172
221,Graceland College,Yes,555,414,242,14,41,996,2281,9100,3100,550,880,51,61,23.6,24,47,5609
222,Saint Michael's College,Yes,1910,1380,463,16,64,1715,106,13030,5860,500,750,79,88,14.5,34,84,10190
223,Knox College,Yes,1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,79,13224
224,Wilkes University,Yes,1631,1431,434,15,36,1803,603,11150,5130,550,1260,78,92,13.3,24,67,8543
225,Campbell University,Yes,2087,1339,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,63,3739
226,Delta State University,No,967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,58,5113
227,Campbell University,Yes,2087,1339,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,63,3739
228,Villanova University,Yes,7759,5588,1477,30,68,6362,1292,15925,6507,400,300,89,90,13.4,24,96,10458
229,Dartmouth College,Yes,8587,2273,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,98,29619
230,Saint Joseph's College,Yes,833,682,217,12,33,716,2196,9985,5180,500,800,53,89,27.2,8,85,4322
231,Sacred Heart University,Yes,2307,1896,509,19,51,1707,1889,11070,5780,400,600,71,73,14.8,16,82,7120
232,Kentucky Wesleyan College,Yes,584,497,175,20,49,662,121,8000,4150,500,1300,57,65,11.3,32,62,7058
233,Defiance College,Yes,571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,56,7505
234,Beloit College,Yes,1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,69,12957
235,Beaver College,Yes,1163,850,348,23,56,878,519,12850,5400,400,800,78,89,12.2,30,73,8954
236,Washington State University,No,6540,5839,2440,31,70,14445,1344,8200,4210,800,2719,84,87,16.9,30,56,10912
237,Saint Mary-of-the-Woods College,Yes,150,130,88,23,50,341,768,10300,4130,500,1700,44,58,10.2,37,75,9678
238,Widener University,Yes,2139,1492,502,24,64,2186,2171,12350,5370,500,1350,88,86,12.6,19,63,9603
239,University of Puget Sound,Yes,4044,2826,688,51,83,2738,138,16230,4500,630,1800,79,86,15,17,63,11217
240,University of South Florida,No,7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17,7,47,11020
241,Washington College,Yes,1209,942,214,31,60,822,46,15276,5318,500,300,79,86,11.2,37,65,10830
242,New Jersey Institute of Technology,No,1879,1216,483,27,62,3311,1646,8832,5376,700,1850,92,98,13.5,19,72,12529
243,Trenton State College,No,5042,2312,944,55,94,5167,902,5391,5411,700,1000,81,87,14.4,6,81,8504
244,Pacific Union College,Yes,940,668,385,20,48,1316,139,11925,3825,630,1926,48,87,12.3,12,69,9157
245,Rutgers at New Brunswick,No,48094,26330,4520,36,79,21401,3712,7410,4748,690,2009,90,95,19.5,19,77,10474
246,Roanoke College,Yes,2227,1790,437,27,54,1460,239,13425,4425,450,1200,85,89,13,26,72,9405
247,Concordia Lutheran College,Yes,232,216,106,16,34,534,172,6900,3800,450,1825,67,76,12.1,9,42,6875
248,University of New Hampshire,No,9750,7640,2529,24,62,10358,1338,11180,3862,650,2450,89,87,17.5,16,75,7855
