,Wine.Color,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Class
26,W,6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,Good
27,R,6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,Bad
28,W,7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,Good
29,W,6.8,0.25,0.37,3.1,0.026,29,93,0.99035,3.14,0.45,12.2,Good
30,W,7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,Good
31,W,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,Good
32,R,9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,Good
33,W,7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,Bad
34,W,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,Good
35,W,7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,Bad
36,R,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,Bad
37,W,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,Bad
38,W,8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,Bad
39,W,6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,Bad
40,W,7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,Bad
41,W,6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,Bad
42,R,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,Bad
43,W,7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,Bad
44,W,6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,Bad
45,W,6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,Good
46,R,9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,Good
47,W,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,Good
48,W,5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,Good
49,W,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,Bad
50,W,7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,Good
51,R,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,Bad
52,W,9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,Bad
53,R,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,Bad
54,R,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,Bad
55,W,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,Good
56,R,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,Bad
57,W,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,Bad
58,W,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,Good
59,R,8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,Bad
60,W,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,Bad
61,R,8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,Bad
62,W,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,Bad
63,R,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,Bad
64,R,9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,Bad
65,W,6.5,0.25,0.2,1.4,0.024,29,101,0.9916,3.24,0.54,10.8,Good
66,R,8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,Bad
67,W,7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,Good
68,W,8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,Bad
69,W,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,Good
70,W,6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,Bad
71,R,6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,Bad
72,W,6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,Good
73,R,10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,Good
74,W,6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,Bad
75,W,6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,Good
76,W,5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2,Good
77,W,7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,Good
78,W,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,Good
79,W,6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,Good
80,R,7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,Good
81,W,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,Bad
82,W,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,Bad
83,R,5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,Good
84,W,5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,Bad
85,W,5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,Good
86,W,8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,Good
87,W,5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,Good
88,W,6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,Good
89,W,6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,Good
90,W,6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,Bad
91,R,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,Good
92,W,5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,Bad
93,W,6.2,0.2,0.29,11.8,0.035,21,93,0.99364,3.18,0.34,11.9,Good
94,W,7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,Good
95,W,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,Good
96,W,6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11,Good
97,W,6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,Good
98,W,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,Bad
99,W,5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,Good
100,W,7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,Good
101,R,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,Bad
102,W,6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,Good
103,W,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,Bad
104,W,8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,Good
105,W,6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,Bad
106,W,7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,Good
107,W,7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2,Good
108,W,6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,Bad
109,W,7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,Good
110,W,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,Good
111,R,8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,Good
112,W,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,Good
113,W,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,Bad
114,W,5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,Bad
115,W,7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,Good
116,W,6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,Good
117,W,8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,Good
118,W,6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,Bad
119,W,6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,Bad
120,R,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,Good
121,W,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,Good
122,W,7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,Bad
123,W,6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,Bad
124,W,6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,Good
125,R,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,Bad
126,W,7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,Good
127,W,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,Bad
128,W,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,Good
129,W,8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,Good
130,R,7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,Bad
131,W,5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,Good
132,R,8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,Bad
133,W,6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,Good
134,R,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,Bad
135,W,6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,Good
136,W,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,Bad
137,W,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,Good
138,W,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,Bad
139,W,6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,Bad
140,W,8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,Good
141,W,7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,Good
142,W,7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,Bad
143,W,6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,Good
144,W,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,Bad
145,W,7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,Good
146,W,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,Bad
147,W,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,Bad
148,W,6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,Bad
149,W,7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,Good
150,R,6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,Bad
151,W,6.6,0.085,0.33,1.4,0.036,17,109,0.99306,3.27,0.61,9.5,Good
152,W,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,Bad
153,W,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,Good
154,W,6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,Good
155,W,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,Good
156,W,7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,Bad
157,W,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,Bad
158,W,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.15,Good
159,W,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,Bad
160,W,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,Good
161,R,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,Good
162,W,6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,Good
163,W,6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,Good
164,W,7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,Good
165,W,7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,Good
166,W,8.9,0.21,0.34,7.1,0.037,33,150,0.9962,3.1,0.45,9.7,Bad
167,R,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,Bad
168,R,9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,Good
169,W,6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,Bad
170,R,12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,Good
171,R,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,Good
172,R,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,Bad
173,W,6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,Good
174,R,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,Bad
175,W,7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,Bad
176,W,8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,Good
177,W,7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,Bad
178,W,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,Good
179,R,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,Bad
180,W,7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,Good
181,W,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,Good
182,W,7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,Good
183,W,6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,Good
184,W,8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,Bad
185,R,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,Bad
186,W,7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,Good
187,W,6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,Bad
188,W,5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,Good
189,W,5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,Good
190,W,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,Good
191,R,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,Good
192,W,6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,Bad
193,W,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,Good
194,W,7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,Bad
195,W,6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,Good
196,W,6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,Good
197,R,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,Bad
198,W,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,Bad
199,W,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,Good
200,W,6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,Bad
201,R,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,Good
202,R,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,Good
203,W,7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,Bad
204,W,6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.44,12.6,Good
205,R,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,Bad
206,W,7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,Bad
207,R,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,Good
208,W,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,Bad
209,R,5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,Good
210,W,6.9,0.3,0.36,0.9,0.037,40,156,0.98968,3.08,0.36,12.1,Good
211,W,6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,Bad
212,R,6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,Bad
213,W,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,Bad
214,R,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,Bad
215,W,6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,Good
216,W,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,Good
217,W,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,Bad
218,W,6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,Bad
219,R,8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,Bad
220,W,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,Good
221,R,7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,Good
222,R,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,Good
223,R,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,Good
224,W,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,Bad
225,W,7.3,0.13,0.31,2.3,0.054,22,104,0.9924,3.24,0.92,11.5,Good
226,W,9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,Good
227,W,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,Good
228,W,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,Bad
229,W,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,Good
230,W,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,Bad
231,W,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,Bad
232,R,7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,Bad
233,R,7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,Good
234,W,7,0.2,0.31,8,0.05,29,213,0.99596,3.28,0.57,10.4,Good
235,W,6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,Bad
236,W,5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,Bad
237,W,6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,Bad
238,W,5.8,0.3,0.09,6.3,0.042,36,138,0.99382,3.15,0.48,9.7,Bad
239,W,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,Good
240,R,6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,Bad
241,W,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,Bad
242,W,6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,Good
243,W,6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,Good
244,R,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,Good
245,W,6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,Good
246,R,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,Bad
247,R,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,Bad
248,W,7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,Good
249,W,7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,Good
250,R,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,Bad
251,W,6.2,0.24,0.28,12.2,0.049,54,133,0.9952,3.19,0.37,10.7,Bad
252,R,9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,Bad
253,W,8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,Bad
254,W,6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,Bad
255,W,6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,Bad
256,W,6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,Good
257,W,8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,Good
258,W,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,Bad
259,W,6.6,0.21,0.39,2.3,0.041,31,102,0.99221,3.22,0.58,10.9,Good
260,W,7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,Bad
261,W,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,Good
262,W,6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,Good
263,R,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,Good
264,W,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,Bad
265,W,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,Good
266,W,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,Good
267,W,6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,Bad
268,W,6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,Good
269,W,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,Bad
270,W,6.1,0.21,0.38,1.5,0.039,37,122,0.98972,3.2,0.43,12,Good
271,W,6.9,0.17,0.3,2,0.047,13,117,0.99152,3.16,0.51,11.6,Bad
272,R,6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,Bad
273,W,5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,Bad
274,W,7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,Good
275,W,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,Good
276,R,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,Bad
277,W,8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,Good
278,W,6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1,Good
279,W,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,Bad
280,W,6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,Good
281,W,6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,Bad
282,W,6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,Bad
283,W,6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,Good
284,W,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,Bad
285,W,7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,Bad
286,R,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,Bad
287,W,7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,Bad
288,W,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,Good
289,R,11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,Good
290,W,7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,Good
